"Year","Monthly_MSL","Linear_Trend","High_Conf","Low_Conf"
1866-10-01,-0.252,-0.362,-0.354,-0.37
1866-11-01,-0.336,-0.362,-0.354,-0.37
1866-12-01,-0.4,-0.361,-0.353,-0.369
1867-01-01,-0.238,-0.361,-0.353,-0.369
1867-02-01,-0.375,-0.361,-0.353,-0.369
1867-03-01,-0.241,-0.361,-0.353,-0.369
1867-04-01,-0.392,-0.36,-0.353,-0.368
1867-05-01,-0.336,-0.36,-0.352,-0.368
1867-06-01,-0.362,-0.36,-0.352,-0.368
1867-07-01,-0.204,-0.36,-0.352,-0.368
1867-08-01,-0.374,-0.359,-0.352,-0.367
1867-09-01,-0.377,-0.359,-0.351,-0.367
1867-10-01,-0.343,-0.359,-0.351,-0.367
1867-11-01,-0.388,-0.359,-0.351,-0.367
1867-12-01,-0.357,-0.359,-0.351,-0.366
1868-01-01,-0.336,-0.358,-0.35,-0.366
1868-02-01,-0.421,-0.358,-0.35,-0.366
1868-03-01,-0.397,-0.358,-0.35,-0.366
1868-04-01,-0.304,-0.358,-0.35,-0.365
1868-05-01,-0.113,-0.357,-0.349,-0.365
1868-06-01,-0.31,-0.357,-0.349,-0.365
1868-07-01,-0.296,-0.357,-0.349,-0.365
1868-08-01,-0.398,-0.357,-0.349,-0.364
1868-09-01,-0.298,-0.356,-0.348,-0.364
1868-10-01,-0.328,-0.356,-0.348,-0.364
1868-11-01,-0.297,-0.356,-0.348,-0.364
1868-12-01,-0.412,-0.356,-0.348,-0.363
1869-01-01,-0.314,-0.355,-0.348,-0.363
1869-02-01,-0.369,-0.355,-0.347,-0.363
1869-03-01,-0.4,-0.355,-0.347,-0.363
1869-04-01,-0.374,-0.355,-0.347,-0.362
1869-05-01,-0.308,-0.354,-0.347,-0.362
1869-06-01,-0.392,-0.354,-0.346,-0.362
1869-07-01,-0.369,-0.354,-0.346,-0.362
1869-08-01,-0.374,-0.354,-0.346,-0.361
1869-09-01,-0.371,-0.353,-0.346,-0.361
1869-10-01,-0.343,-0.353,-0.345,-0.361
1869-11-01,-0.367,-0.353,-0.345,-0.361
1869-12-01,-0.29,-0.353,-0.345,-0.36
1870-01-01,-0.329,-0.352,-0.345,-0.36
1870-02-01,-0.217,-0.352,-0.344,-0.36
1870-03-01,-0.193,-0.352,-0.344,-0.36
1870-04-01,-0.179,-0.352,-0.344,-0.359
1870-05-01,-0.278,-0.351,-0.344,-0.359
1870-06-01,-0.313,-0.351,-0.343,-0.359
1870-07-01,-0.311,-0.351,-0.343,-0.359
1870-08-01,-0.307,-0.351,-0.343,-0.358
1870-09-01,-0.316,-0.35,-0.343,-0.358
1870-10-01,-0.313,-0.35,-0.343,-0.358
1870-11-01,-0.391,-0.35,-0.342,-0.358
1870-12-01,-0.351,-0.35,-0.342,-0.357
1871-01-01,-0.354,-0.35,-0.342,-0.357
1871-02-01,-0.351,-0.349,-0.342,-0.357
1871-03-01,-0.29,-0.349,-0.341,-0.357
1871-04-01,-0.267,-0.349,-0.341,-0.356
1871-05-01,-0.363,-0.349,-0.341,-0.356
1871-06-01,-0.328,-0.348,-0.341,-0.356
1871-07-01,-0.332,-0.348,-0.34,-0.356
1871-08-01,-0.356,-0.348,-0.34,-0.355
1871-09-01,-0.352,-0.348,-0.34,-0.355
1871-10-01,-0.435,-0.347,-0.34,-0.355
1871-11-01,-0.342,-0.347,-0.339,-0.355
1871-12-01,-0.492,-0.347,-0.339,-0.354
